hrs_Studied,prev_score,sleep,sample_practiced,extra_Curr,Result,
7,99,9,1,Yes,91,
4,82,4,2,No,65,
8,51,7,2,Yes,45,
5,52,5,2,Yes,36,
7,75,8,5,No,66,
3,78,9,6,No,61,
7,73,5,6,Yes,63,
8,45,4,6,Yes,42,
5,77,8,2,No,61,
4,89,4,0,No,69,
8,91,4,5,No,84,
8,79,6,2,No,73,
3,47,9,2,No,27,
6,47,4,2,No,33,
5,79,7,8,No,68,
2,72,4,3,No,43,
8,73,8,4,Yes,67,
6,83,7,2,Yes,70,
2,54,4,9,Yes,30,
5,75,7,0,No,63,
1,99,4,3,Yes,71,
6,96,9,0,No,85,
9,74,7,6,Yes,73,
1,85,5,6,No,57,
3,61,6,3,No,35,
7,62,7,4,Yes,49,
4,79,8,9,No,66,
9,84,6,6,Yes,83,
3,94,6,5,Yes,74,
5,90,4,3,Yes,74,
3,61,7,3,Yes,39,
7,44,9,1,Yes,36,
5,70,6,9,Yes,58,
9,52,8,1,Yes,47,
7,67,9,3,Yes,60,
2,97,9,4,Yes,74,
4,59,8,3,No,42,
9,72,8,2,No,68,
2,55,4,1,Yes,32,
9,68,5,3,No,64,
5,62,7,4,No,45,
2,63,6,0,Yes,39,
4,73,7,0,Yes,58,
7,46,9,5,No,36,
8,77,6,4,Yes,71,
3,76,4,3,Yes,54,
1,43,7,0,Yes,17,
4,73,4,6,No,54,
2,81,4,3,Yes,58,
8,61,7,2,No,53,
4,44,7,6,Yes,27,
2,89,6,1,Yes,65,
6,81,9,9,No,75,
6,62,9,0,Yes,52,
4,93,8,3,No,78,
6,99,4,7,No,91,
2,54,9,5,Yes,33,
2,70,5,8,Yes,47,
4,98,6,0,No,78,
8,48,6,0,No,38,
7,82,8,4,Yes,70,
9,97,8,5,Yes,98,
8,92,4,7,Yes,87,
5,64,6,2,Yes,49,
2,64,6,5,Yes,41,
5,88,5,2,No,71,
8,60,4,7,No,54,
9,48,4,3,No,42,
9,94,9,1,No,91,
1,87,8,8,Yes,61,
9,77,9,9,No,74,
7,61,4,7,Yes,54,
9,82,5,5,Yes,81,
8,62,4,2,Yes,52,
1,88,9,1,Yes,65,
8,43,7,3,Yes,36,
8,68,7,3,No,61,
3,54,5,0,Yes,35,
1,40,8,8,Yes,15,
8,93,6,9,Yes,88,
3,69,4,7,No,45,
3,68,9,6,Yes,49,
1,59,8,5,Yes,33,
5,72,9,2,Yes,60,
7,80,8,3,No,71,
9,83,4,1,Yes,81,
7,75,6,6,No,67,
9,99,4,1,No,95,
8,61,6,9,Yes,58,
2,52,9,0,No,29,
1,46,5,5,No,21,
7,47,6,3,Yes,38,
7,67,8,7,Yes,60,
8,84,5,0,Yes,76,
5,82,9,8,Yes,69,
3,48,7,5,No,30,
8,64,5,1,No,57,
6,95,6,7,Yes,81,
3,55,5,4,Yes,36,
1,49,9,4,Yes,25,
3,50,5,4,No,27,
5,70,9,6,Yes,61,
3,51,7,6,No,34,
1,99,6,9,No,76,
5,70,8,6,No,57,
7,53,5,9,No,45,
7,90,4,1,Yes,76,
9,83,8,7,Yes,83,
3,71,5,0,Yes,50,
7,89,8,1,No,81,
1,92,4,6,No,66,
4,56,8,3,Yes,38,
4,74,8,9,No,56,
5,40,4,9,No,25,
7,68,4,8,No,56,
7,90,4,8,Yes,82,
4,43,7,2,Yes,23,
7,62,9,2,Yes,56,
3,67,9,8,No,46,
6,55,4,9,Yes,43,
2,51,9,7,Yes,30,
9,92,8,0,Yes,92,
5,60,4,5,No,45,
6,84,5,6,No,70,
4,56,4,7,No,36,
7,79,4,1,No,71,
9,52,9,0,No,49,
7,91,6,3,Yes,82,
1,97,8,0,Yes,71,
1,71,9,1,No,43,
9,76,8,2,No,77,
9,89,5,3,Yes,86,
4,54,7,5,No,34,
9,51,6,7,No,49,
3,88,5,8,No,69,
7,96,5,3,No,84,
6,54,8,0,No,41,
8,73,6,4,Yes,68,
9,45,8,4,Yes,44,
5,56,7,8,No,41,
1,87,8,5,No,58,
3,88,4,4,Yes,68,
8,96,8,9,No,94,
6,59,4,9,Yes,47,
8,48,5,4,No,40,
9,98,7,7,Yes,100,
4,44,9,0,Yes,23,
1,62,4,4,No,36,
1,72,7,0,No,47,
4,77,8,6,Yes,60,
7,95,9,6,No,83,
2,53,8,9,Yes,33,
3,56,5,7,No,36,
1,96,8,6,No,74,
5,58,4,8,No,42,
1,72,5,7,Yes,47,
8,40,7,7,Yes,31,
1,52,5,2,No,26,
1,85,7,9,Yes,58,
2,66,6,3,No,42,
2,45,4,3,Yes,18,
6,98,4,0,No,85,
7,45,7,5,Yes,36,
5,72,8,1,Yes,58,
1,69,9,8,Yes,45,
1,85,8,0,Yes,60,
3,74,6,0,Yes,56,
2,62,7,9,Yes,42,
5,49,6,5,No,33,
6,90,7,0,No,77,
7,58,6,2,Yes,51,
4,90,7,9,No,72,
7,67,4,1,Yes,57,
8,62,6,8,No,53,
1,43,6,4,No,16,
6,59,7,5,No,45,
8,58,5,1,No,49,
5,81,5,7,Yes,67,
4,66,4,5,No,49,
2,96,8,7,No,73,
6,73,8,7,No,65,
6,43,4,0,Yes,27,
1,95,8,6,No,72,
9,77,9,1,Yes,74,
6,46,9,7,Yes,38,
3,87,9,1,No,67,
4,46,9,3,Yes,28,
4,89,7,1,No,73,
3,91,5,6,No,72,
3,65,4,4,No,42,
3,65,7,8,No,47,
4,93,9,4,No,77,
7,58,4,7,No,49,
4,48,5,1,No,30,
9,59,8,2,Yes,54,
1,81,7,5,Yes,56,
8,84,5,6,No,75,
7,89,4,9,No,78,
2,55,6,7,Yes,32,
8,93,7,2,No,89,
1,56,4,6,Yes,29,
9,61,4,7,Yes,57,
9,52,5,9,No,48,
2,51,4,5,No,27,
7,49,7,3,Yes,38,
3,40,9,5,Yes,18,
7,71,7,8,No,66,
9,69,4,2,No,65,
4,47,5,1,Yes,27,
1,60,7,4,Yes,33,
2,61,6,6,Yes,37,
1,57,9,2,No,29,
5,41,8,4,No,26,
5,87,5,3,No,72,
7,83,5,6,Yes,77,
9,48,8,1,Yes,45,
9,42,8,6,No,41,
3,93,7,1,Yes,73,
3,65,4,2,Yes,43,
3,60,4,4,Yes,39,
4,69,6,6,Yes,54,
8,67,9,5,Yes,62,
6,75,4,6,No,63,
8,65,6,5,No,59,
1,73,6,0,No,46,
8,47,5,4,No,42,
4,49,5,0,No,30,
1,87,9,6,Yes,63,
8,94,7,3,Yes,89,
4,82,8,4,Yes,62,
6,89,8,0,No,77,
8,93,9,7,Yes,88,
4,53,6,3,Yes,35,
3,79,9,2,Yes,60,
9,94,8,0,No,92,
3,54,6,3,Yes,38,
9,56,8,2,Yes,56,
2,92,7,7,No,70,
2,57,5,8,No,35,
2,71,5,4,Yes,47,
6,77,6,8,No,66,
3,62,9,0,Yes,43,
9,85,8,6,No,81,
4,62,4,6,Yes,43,
1,74,7,5,Yes,46,
4,78,8,3,No,61,
1,54,4,8,No,27,
5,92,7,2,No,77,
4,63,7,0,No,43,
8,67,5,1,Yes,60,
8,55,6,2,No,48,
7,55,8,1,Yes,47,
3,79,7,5,Yes,60,
1,78,8,6,Yes,53,
1,45,7,4,No,19,
3,41,9,4,Yes,23,
6,93,5,6,Yes,81,
7,52,6,5,No,41,
6,83,4,7,Yes,71,
6,86,4,8,Yes,75,
6,98,9,1,Yes,89,
3,48,5,1,No,28,
6,73,7,0,Yes,60,
8,56,5,6,Yes,54,
2,66,6,3,Yes,41,
5,68,4,8,No,52,
1,76,8,5,No,53,
1,82,4,6,No,52,
5,61,6,6,Yes,47,
3,90,7,7,Yes,71,
4,63,5,3,Yes,42,
3,46,4,2,Yes,21,
1,73,4,2,Yes,48,
1,87,8,9,No,64,
5,51,5,7,Yes,38,
6,62,8,2,Yes,49,
3,54,8,7,No,35,
9,72,7,1,No,73,
5,96,4,4,Yes,81,
8,52,9,4,No,47,
1,62,5,6,No,36,
5,77,7,4,No,63,
3,71,9,8,Yes,52,
1,84,7,2,No,58,
4,89,7,8,Yes,77,
5,74,6,0,No,58,
7,40,6,2,Yes,33,
1,86,7,3,Yes,67,
3,97,6,5,Yes,76,
2,84,5,9,No,62,
9,44,4,7,No,37,
6,96,9,6,No,86,
3,52,5,7,Yes,37,
8,93,4,5,No,88,
8,44,6,5,No,38,
2,99,9,5,Yes,76,
6,71,5,2,No,57,
7,90,8,9,Yes,82,
2,60,7,3,No,35,
2,63,4,5,Yes,41,
1,99,4,6,Yes,75,
8,57,8,2,No,51,
1,60,8,3,Yes,34,
9,93,7,5,No,92,
6,49,6,0,No,39,
7,63,5,6,No,56,
7,79,5,0,No,69,
3,86,5,9,Yes,69,
2,60,6,8,Yes,40,
9,64,7,9,Yes,63,
8,91,5,8,No,86,
7,99,4,8,No,89,
9,96,4,3,Yes,94,
4,98,4,1,Yes,79,
4,62,8,6,No,44,
1,61,8,3,No,33,
8,43,6,4,No,36,
3,73,5,0,Yes,50,
7,95,8,9,No,94,
2,45,4,5,Yes,22,
2,67,8,6,No,44,
7,70,4,2,Yes,60,
6,74,5,9,No,64,
3,78,6,1,Yes,58,
9,81,7,9,Yes,78,
6,62,7,6,Yes,51,
6,45,4,0,No,30,
1,55,8,1,Yes,29,
4,41,8,2,Yes,22,
6,63,4,3,No,51,
6,56,5,4,Yes,45,
5,84,4,3,Yes,70,
1,40,5,9,No,10,
8,45,6,2,Yes,38,
5,44,6,0,No,30,
5,96,4,6,Yes,82,
7,84,6,9,No,74,
4,99,8,5,Yes,87,
6,94,5,1,Yes,77,
4,89,7,1,Yes,72,
3,68,7,2,No,51,
7,51,6,7,Yes,40,
8,78,5,7,Yes,72,
4,86,8,9,No,68,
2,42,7,9,No,22,
3,87,8,9,No,67,
1,40,8,9,Yes,18,
8,66,7,7,Yes,64,
3,87,7,6,Yes,66,
7,63,6,1,No,50,
5,83,5,0,No,68,
5,58,4,5,Yes,44,
7,98,5,7,Yes,90,
9,47,4,0,No,41,
5,94,7,2,No,83,
1,83,8,0,No,57,
1,86,5,9,Yes,64,
2,41,8,8,No,18,
6,69,5,6,No,62,
9,69,9,7,No,66,
8,88,5,8,No,85,
5,78,8,2,Yes,62,
1,84,9,9,No,62,
7,71,6,1,Yes,62,
5,40,7,5,Yes,26,
6,77,6,4,No,66,
7,52,6,3,No,43,
3,50,5,5,Yes,30,
3,49,7,5,No,25,
5,87,9,2,Yes,77,
6,98,5,1,No,88,
9,65,4,8,Yes,62,
5,95,5,7,Yes,82,
1,94,9,3,Yes,73,
4,59,8,5,No,44,
5,56,5,2,Yes,40,
5,56,4,7,Yes,39,
7,43,5,2,No,34,
4,44,9,1,No,27,
1,99,4,6,Yes,73,
5,62,7,2,Yes,46,
7,85,9,8,No,78,
6,91,5,2,Yes,80,
5,49,4,7,No,33,
4,85,9,1,No,68,
2,67,7,8,No,45,
4,72,8,0,Yes,56,
3,82,6,2,No,58,
1,65,4,1,Yes,37,
8,94,8,6,Yes,88,
5,89,7,4,No,75,
4,87,8,7,No,70,
8,68,5,1,No,62,
7,66,6,7,No,57,
2,57,4,6,Yes,32,
1,79,9,4,Yes,53,
4,99,7,1,No,82,
8,49,6,9,Yes,41,
2,97,7,6,No,75,
3,81,8,9,Yes,63,
1,44,7,3,Yes,17,
1,49,7,3,Yes,24,
3,89,8,7,No,69,
5,60,8,5,Yes,47,
3,63,6,8,Yes,43,
1,77,4,1,Yes,48,
1,42,8,4,Yes,17,
8,79,6,5,No,75,
2,70,7,7,Yes,54,
3,80,7,3,No,59,
2,76,9,6,No,56,
3,41,5,6,Yes,20,
7,41,8,3,Yes,34,
1,78,6,0,No,54,
8,88,9,2,No,83,
2,81,6,1,No,59,
3,83,4,2,Yes,63,
9,73,9,4,Yes,72,
7,81,6,0,No,70,
4,59,8,4,No,41,
5,72,6,1,No,54,
2,43,5,3,Yes,21,
8,84,7,5,Yes,83,
4,83,7,8,No,64,
9,50,9,9,Yes,51,
5,81,6,5,No,66,
9,86,6,9,Yes,83,
4,44,6,1,No,26,
5,64,6,7,Yes,49,
9,88,5,4,Yes,85,
8,99,8,8,Yes,95,
3,76,5,9,Yes,56,
1,73,5,8,Yes,50,
